THEME,Raw GitHub URL
GREEN THE BUSINESS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/GREEN%20THE%20BUSINESS.jpg
PURSUE BLUE OCEAN STRATEGIES,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/PURSUE%20BLUE%20OCEAN%20STRATEGIES.jpg
MAKE PURPOSE UNCOMFORTABLE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/MAKE%20PURPOSE%20UNCOMFORTABLE.jpg
TREAT STRATEGY LIKE DATA SCIENCE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/TREAT%20STRATEGY%20LIKE%20DATA%20SCIENCE.jpg
BUILD FOR SOCIAL CAPITAL,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/BUILD%20FOR%20SOCIAL%20CAPITAL.jpg
PLAY TO LEARN NOT JUST TO WIN,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/PLAY%20TO%20LEARN%20NOT%20JUST%20TO%20WIN.jpg
SURPASS CURRENT ADVANTAGE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/SURPASS%20CURRENT%20ADVANTAGE.jpg
FAIL FEARLESSLY,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/FAIL%20FEARLESSLY.jpg
EMBRACE PARADOXES,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/EMBRACE%20PARADOXES.jpg
THINK VUJA DE FRESH PERSPECTIVE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/THINK%20VUJA%20DE%20FRESH%20PERSPECTIVE.jpg
BUILD AN ANTI FRAGILE ORG,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/BUILD%20AN%20ANTI%20FRAGILE%20ORG.jpg
CULTIVATE DEEP WORK,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/CULTIVATE%20DEEP%20WORK.jpg
MAKE A TEAL SELF DRIVEN ORG,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/MAKE%20A%20TEAL%20SELF%20DRIVEN%20ORG.jpg
TURN STRATEGY INTO STORYTELLING,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/TURN%20STRATEGY%20INTO%20STORYTELLING.jpg
MAKE PURPOSE JOYFUL,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/MAKE%20PURPOSE%20JOYFUL.jpg
ANTICIPATE WEAK SIGNALS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/ANTICIPATE%20WEAK%20SIGNALS.jpg
FIND OPPORTUNITY IN CONSTRAINTS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/FIND%20OPPORTUNITY%20IN%20CONSTRAINTS.jpg
STRATEGIZE FOR HYBRID MODELS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/STRATEGIZE%20FOR%20HYBRID%20MODELS.jpg
TEACH MACHINES TEACH PEOPLE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/TEACH%20MACHINES%20TEACH%20PEOPLE.jpg
ESTABLISH AI DEMOCRACY,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/ESTABLISH%20AI%20DEMOCRACY.jpg
DO AUGMENTATION PLUS AUTOMATION,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/DO%20AUGMENTATION%20PLUS%20AUTOMATION.jpg
SET GEOPOLITICAL RESILIENCE HUBS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/SET%20GEOPOLITICAL%20RESILIENCE%20HUBS.jpg
RELY ON INCLUSIVE GEOPOLITICS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/RELY%20ON%20INCLUSIVE%20GEOPOLITICS.jpg
BUILD SOFT POWER,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/BUILD%20SOFT%20POWER.jpg
PROMOTE DIGITAL DEXTERITY FOR ALL,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/PROMOTE%20DIGITAL%20DEXTERITY%20FOR%20ALL.jpg
HUMANIZE DIGITAL TRANSFORMATION,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/HUMANIZE%20DIGITAL%20TRANSFORMATION.jpg
HAVE ADAPTIVE DIGITAL SYSTEMS,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/HAVE%20ADAPTIVE%20DIGITAL%20SYSTEMS.jpg
VALUE PRODUCTIVE DISSONANCE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/VALUE%20PRODUCTIVE%20DISSONANCE.jpg
GIVE AUTONOMY TO MICRO CULTURES,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/GIVE%20AUTONOMY%20TO%20MICRO%20CULTURES.jpg
ADOPT RADICAL TRANSPARENCY,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/ADOPT%20RADICAL%20TRANSPARENCY.jpg
USE BLOCKCHAIN IN GOVERNANCE,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/USE%20BLOCKCHAIN%20IN%20GOVERNANCE.jpg
MAKE ETHICS THE DIFFERENTIATOR,https://raw.githubusercontent.com/Paragpandey-hrtools/aimicus-images/main/themes/MAKE%20ETHICS%20THE%20DIFFERENTIATOR.jpg